id_transaksi,id_rekening,nama,alamat,jumlah_pinjaman,pendapatan_bulanan,usia_nasabah,status_pekerjaan,Credit_Score,riwayat_kredit,tanggal_data
48,914996624,Cherri Chavez,16854 Fordem Park,9000000,8000000,18,karyawan_swasta,595,baik,2025-08-16
49,967839390,Jenilee Pepin,1302 Killdeer Alley,14000000,16000000,38,karyawan_swasta,670,buruk,2025-09-03
50,919791564,Rennie Garrity,6 Arapahoe Plaza,11000000,13000000,34,karyawan_swasta,652,baik,2025-07-12
51,982200941,Ileane McKernan,9224 Corscot Center,6000000,7000000,23,karyawan_swasta,816,baik,2025-06-11
52,928614374,Damita Branwhite,4 Michigan Parkway,10000000,11000000,46,wirausaha,665,baik,2025-05-25
53,909090708,Lari Pedrocchi,65305 Barby Road,10000000,12000000,24,karyawan_swasta,733,baik,2025-01-25
54,974075052,Linoel Lathaye,3 Monica Junction,14000000,12000000,18,wirausaha,766,baik,2025-04-26
55,918187327,Rodi Huetson,64 Graedel Lane,6000000,7000000,19,wirausaha,843,baik,2025-02-26
56,923713002,Chanda Jickles,63 Washington Point,11000000,13000000,25,karyawan_swasta,519,buruk,2025-09-01
57,955772044,Tamarra Randell,26 Mesta Parkway,11000000,9000000,21,karyawan_swasta,822,baik,2025-07-09
58,907489979,Dolorita Cuolahan,10 Ronald Regan Parkway,10000000,9000000,36,pns,802,buruk,2025-03-05
59,901430965,Chrystel Mather,2549 Express Crossing,10000000,8000000,18,karyawan_swasta,626,buruk,2025-06-27
60,917451816,Richmond Cowely,04018 Bultman Center,10000000,9000000,32,wirausaha,739,baik,2024-11-29
61,931597742,Homer MacNab,154 Buena Vista Court,10000000,11000000,46,pns,619,baik,2024-10-29
62,950916124,Letitia Petrina,08022 Oak Valley Trail,11000000,12000000,43,wirausaha,607,baik,2025-03-18
63,950814899,Eugen Ruppele,171 Mcbride Drive,10000000,12000000,34,wirausaha,754,baik,2025-08-04
64,959872056,Wenonah Hawse,16791 Raven Court,13000000,11000000,45,karyawan_swasta,740,baik,2024-10-02
65,934215600,Myra Soots,8 5th Lane,6000000,7000000,42,karyawan_swasta,612,buruk,2025-05-01
66,954239633,Marcia Ackerley,8 Scofield Circle,8000000,9000000,34,wirausaha,691,baik,2025-06-16
67,984521383,Stefanie Mattessen,8374 Memorial Trail,10000000,11000000,22,wirausaha,833,baik,2025-04-22
68,916769246,Neilla Kiffin,33894 Chinook Center,5000000,6000000,40,wirausaha,777,baik,2025-08-17
69,944334005,Cheryl Danson,2 Fordem Drive,11000000,13000000,29,karyawan_swasta,802,baik,2025-02-21
70,901001099,Geri Oldfield-Cherry,27 Goodland Terrace,11000000,13000000,32,wirausaha,602,baik,2024-10-01
71,957131929,Maurene Wilfling,0187 Basil Circle,10000000,8000000,18,wirausaha,850,baik,2025-03-08
72,956501427,Lida Huntriss,0403 Lukken Crossing,12000000,13000000,48,wirausaha,685,baik,2025-06-05
73,973691851,Yelena Tertre,05 Johnson Hill,5000000,6000000,48,karyawan_swasta,700,baik,2025-02-16
74,911643738,Gloriana Fitzsymons,0 Holmberg Terrace,11000000,12000000,35,pns,632,baik,2024-10-11
75,955176301,Yulma Simnel,74 Redwing Park,12000000,14000000,34,pns,756,baik,2025-05-25
76,992710548,Nefen Boni,36 Hansons Terrace,12000000,14000000,33,wirausaha,672,baik,2025-05-29
77,908539911,Vikky Plaxton,14 Arizona Street,10000000,12000000,59,wirausaha,796,baik,2025-09-03
78,913311577,Chariot Fooks,5664 Badeau Crossing,7000000,8000000,35,pns,560,baik,2024-12-15
79,938835530,Harbert Yerlett,392 Nova Place,12000000,13000000,23,karyawan_swasta,761,baik,2025-05-23
80,927906204,Clerkclaude Petru,471 Cherokee Circle,7000000,8000000,21,karyawan_swasta,696,buruk,2024-10-13
81,961853988,Consolata Bounde,51 Anderson Court,5000000,4000000,61,karyawan_swasta,701,baik,2025-01-05
82,957140062,Evangeline Dyers,2414 Stone Corner Terrace,8000000,9000000,28,karyawan_swasta,701,buruk,2025-04-15
83,993564247,Veradis Baurerich,674 Golf Lane,11000000,10000000,53,wirausaha,613,baik,2025-02-05
84,933976192,Gabriela Rice,0 Menomonie Point,14000000,16000000,18,pns,820,baik,2025-02-28
85,948154910,Hermina Gruczka,1 Dottie Park,7000000,8000000,18,pns,615,buruk,2025-05-29
86,917277068,Sinclare Churchman,05 Bartelt Plaza,13000000,16000000,41,wirausaha,753,baik,2025-02-23
87,990260225,Aila Vollam,813 Fremont Center,11000000,12000000,59,karyawan_swasta,763,baik,2024-12-24
88,957036877,Antonina Kalf,3 Meadow Ridge Circle,8000000,6000000,38,wirausaha,719,baik,2025-07-08
89,920470970,Neill Cavie,757 Gina Alley,6000000,7000000,33,wirausaha,675,buruk,2024-09-27
90,904123890,Spencer Callingham,148 Valley Edge Trail,11000000,10000000,18,karyawan_swasta,826,baik,2025-03-17
91,974334127,Huey Stuckow,00 South Plaza,7000000,6000000,39,karyawan_swasta,608,baik,2025-05-28
92,903856779,Joscelin Grinter,719 Reinke Circle,8000000,7000000,29,wirausaha,758,buruk,2025-04-29
93,936766023,Lev Kissick,25 Leroy Terrace,10000000,12000000,23,wirausaha,618,baik,2024-11-28
94,957563453,Hanny Pacht,83 Kennedy Junction,9000000,11000000,56,wirausaha,777,baik,2025-08-06
95,985291721,Julia Quadrio,7 Northwestern Crossing,5000000,4000000,43,wirausaha,676,baik,2025-05-30
96,909638755,Stephanus Cash,0129 Macpherson Pass,12000000,10000000,51,wirausaha,850,baik,2025-02-17
97,941750268,Leon Quinion,3084 Tennyson Court,10000000,11000000,21,karyawan_swasta,689,baik,2024-11-15
98,932120392,Amandi Panketh,91 Lindbergh Avenue,12000000,10000000,40,wirausaha,749,baik,2025-04-29
99,927047633,Austine Rubinsztein,55098 Dryden Junction,8000000,7000000,19,karyawan_swasta,611,buruk,2025-07-14
100,982070573,Ode Bugbee,745 Coolidge Trail,8000000,7000000,57,wirausaha,602,buruk,2025-04-29
101,977025473,Ariadne Farries,4715 Mallory Road,6000000,7000000,30,karyawan_swasta,666,baik,2025-01-09
102,946808284,Lura Piet,094 Lakewood Gardens Road,12000000,14000000,32,wirausaha,705,baik,2024-10-18
103,906393794,Hillie Lamplough,8 Almo Pass,10000000,9000000,18,wirausaha,758,baik,2025-04-08
104,937259790,Cristina Ratke,05518 Messerschmidt Trail,9000000,11000000,38,wirausaha,629,baik,2025-07-10
105,961557372,Luca Sidnall,024 Beilfuss Road,10000000,8000000,46,karyawan_swasta,732,baik,2025-03-02
106,994089484,Kristy Croston,316 Bellgrove Lane,8000000,6000000,29,pns,681,baik,2024-11-29
107,914490748,Obidiah MacCaughey,0898 Mandrake Lane,9000000,10000000,53,wirausaha,736,baik,2025-07-20
108,905534790,Elora Hause,63132 Bunting Alley,8000000,9000000,31,wirausaha,625,buruk,2024-09-24
109,912821371,Dionisio Skamell,839 Lyons Crossing,12000000,11000000,23,wirausaha,646,baik,2025-08-02
110,988327220,Bonny Loiterton,89124 American Crossing,13000000,14000000,23,wirausaha,577,baik,2025-04-21
111,952375752,Mag Larwood,9 Superior Junction,11000000,9000000,34,wirausaha,819,baik,2025-02-12
112,993325759,Darby O'Shevlan,3083 Bunker Hill Street,6000000,7000000,31,wirausaha,732,baik,2025-09-07
113,964541827,Danielle Stoneham,52 Garrison Point,11000000,10000000,43,wirausaha,662,baik,2025-05-29
114,904919193,Nathalie Gariff,6 Raven Junction,9000000,8000000,50,karyawan_swasta,704,baik,2025-08-27
115,946834655,Tomasine D'Cruze,41880 Menomonie Drive,10000000,8000000,27,wirausaha,654,baik,2024-11-06
116,918260788,Osbourn Strond,42 Moose Avenue,12000000,13000000,60,karyawan_swasta,668,baik,2024-11-25
117,943481208,Kalila Washbrook,401 Tomscot Point,15000000,17000000,34,karyawan_swasta,632,baik,2025-08-25
118,963412319,Belicia Caslane,2 Rieder Parkway,7000000,8000000,34,wirausaha,760,baik,2024-12-16
119,907823053,Tara Kisbey,38505 Quincy Way,12000000,13000000,18,wirausaha,522,baik,2024-10-05
120,959588766,Phillipp Simco,1 Muir Center,6000000,5000000,40,wirausaha,666,baik,2025-05-06
121,922003969,Davina Lody,4793 Pepper Wood Circle,11000000,9000000,32,karyawan_swasta,817,baik,2025-02-11
122,929976439,Farrand Armal,085 Independence Park,8000000,9000000,66,karyawan_swasta,725,baik,2024-11-13
123,990052707,Kristoffer Brachell,3 Mitchell Road,11000000,13000000,47,karyawan_swasta,760,baik,2025-03-09
124,909404306,Johannes Duffree,7 Forster Drive,12000000,14000000,27,karyawan_swasta,814,buruk,2025-01-30
125,964040847,Skelly Peachman,49572 Sunfield Way,5000000,6000000,58,karyawan_swasta,812,baik,2025-04-21
126,960942413,Nicolis Tenwick,6907 Northfield Crossing,12000000,10000000,31,wirausaha,748,baik,2025-03-30
127,963126955,Lilias Fillis,7 Goodland Point,9000000,8000000,19,pns,682,baik,2025-08-16
128,940322751,Aleece Oby,3732 Mandrake Alley,11000000,9000000,43,pns,623,baik,2025-05-31
129,969755253,Cordelia Hurdwell,0086 Nelson Plaza,10000000,8000000,26,wirausaha,730,baik,2025-02-09
130,912882100,Chet Vivians,6185 Fairfield Alley,13000000,15000000,38,karyawan_swasta,672,baik,2025-01-07
131,953337710,Barthel Fishwick,158 Doe Crossing Parkway,8000000,10000000,27,karyawan_swasta,814,baik,2025-02-06
132,997766703,Galven Jeannot,911 Bartillon Junction,9000000,8000000,36,pns,758,baik,2024-12-30
133,922013273,Kennan Duffill,5806 Mallory Park,10000000,11000000,29,wirausaha,680,baik,2025-07-06
134,987113335,Hayden Cleminshaw,54206 Emmet Street,8000000,9000000,24,wirausaha,715,buruk,2025-07-22
135,905038466,Brittani Bearward,24 Moulton Center,13000000,15000000,18,wirausaha,665,baik,2025-07-02
136,911421048,Gweneth Banford,1957 Forest Center,7000000,6000000,35,karyawan_swasta,701,baik,2025-06-19
137,923254607,Merrel Spalls,26 Susan Court,10000000,9000000,67,karyawan_swasta,738,baik,2024-11-23
138,910850865,Holli Eller,2 Manitowish Place,10000000,11000000,41,wirausaha,773,baik,2025-05-02
139,907488002,Babbette Whickman,3 Pawling Place,12000000,14000000,45,karyawan_swasta,793,baik,2025-04-06
140,988570665,Pearl Barrick,8637 Stephen Park,10000000,11000000,19,wirausaha,754,baik,2025-05-15
141,901856711,Meade Lermit,896 Buena Vista Lane,8000000,7000000,30,wirausaha,626,baik,2025-04-15
142,922950269,Efrem Rawnsley,8859 Pearson Park,8000000,7000000,42,pns,752,buruk,2025-08-22
143,951614066,Demeter Abbate,723 Hallows Court,9000000,10000000,32,karyawan_swasta,717,baik,2025-02-23
144,903317058,Gabie Cloy,8 Northridge Drive,10000000,12000000,20,wirausaha,784,baik,2025-04-23
145,942728257,Evonne Verling,18 Ludington Point,9000000,11000000,24,karyawan_swasta,695,baik,2025-03-13
146,934906541,Piper Duxbury,50814 Melody Court,11000000,12000000,51,karyawan_swasta,756,baik,2025-03-20
147,917982183,Walden Shakelade,4 Eagan Terrace,8000000,9000000,18,wirausaha,637,buruk,2025-05-13
148,986953697,Dena Runchman,4 Cascade Crossing,13000000,15000000,41,pns,751,baik,2025-03-28
149,989716802,Hashim Bengtson,4 Victoria Hill,5000000,4000000,18,karyawan_swasta,667,baik,2025-07-25
150,921700052,Coral Huckin,5 Westend Parkway,7000000,6000000,32,wirausaha,698,buruk,2025-07-29
151,936301994,Eolanda Couth,915 Londonderry Road,12000000,14000000,26,karyawan_swasta,753,baik,2025-08-11
152,927911504,Cristy Hanwright,86211 Rigney Point,8000000,9000000,27,karyawan_swasta,675,baik,2025-06-13
153,936703473,Isac Lestor,8836 Stang Plaza,10000000,11000000,49,karyawan_swasta,756,baik,2025-06-27
154,979741718,Diane-marie Rubinovitch,4653 Colorado Crossing,11000000,13000000,31,wirausaha,832,baik,2025-05-28
155,972342852,Teddy Maffioni,898 Moose Avenue,10000000,11000000,28,wirausaha,753,baik,2024-12-23
156,917542706,Abbi Dunbavin,25945 Pennsylvania Place,12000000,13000000,66,pns,620,baik,2024-12-05
157,917140348,Lydie Blaze,26 Maple Wood Junction,9000000,10000000,32,wirausaha,701,buruk,2025-06-27
158,904286835,Any Tosspell,526 Eagan Alley,6000000,7000000,46,wirausaha,671,baik,2025-01-10
159,996882897,Laurena Lintin,456 Spaight Park,6000000,5000000,49,karyawan_swasta,764,baik,2025-07-24
160,930245031,Anatole Satchell,8 Burrows Avenue,9000000,8000000,51,wirausaha,603,baik,2024-11-30
161,930126450,Tamera Edel,25696 Waxwing Drive,11000000,13000000,36,karyawan_swasta,592,buruk,2025-05-02
162,953737688,Paulo Harman,3 Dawn Drive,10000000,11000000,49,karyawan_swasta,808,baik,2025-06-29
163,916198202,Alyss Cleft,03 Atwood Point,10000000,8000000,48,wirausaha,763,baik,2025-07-09
164,954069271,Skipton Vinten,59 Lunder Point,13000000,15000000,26,karyawan_swasta,639,buruk,2024-12-31
165,943203528,Koren Mateuszczyk,4 North Way,13000000,11000000,38,pns,635,buruk,2024-12-16
166,974687100,Winslow Ronaghan,6 Kropf Court,11000000,9000000,56,pns,710,buruk,2024-12-23
167,911630739,Brook Luten,371 Sugar Crossing,12000000,14000000,37,wirausaha,742,baik,2024-12-13
168,951535612,Prudy Gornal,6 Ilene Center,10000000,11000000,42,pns,764,baik,2025-09-02
169,944273799,Deena Venus,47181 Karstens Place,10000000,12000000,59,wirausaha,723,baik,2025-07-10
170,969626364,Jaquenetta Deniske,273 Dunning Crossing,13000000,15000000,28,wirausaha,765,baik,2024-12-09
171,900469498,Rosmunda Summers,2 Hovde Circle,11000000,13000000,30,wirausaha,842,baik,2025-05-02
172,937935205,Bel Jahnel,929 Gulseth Pass,15000000,18000000,53,karyawan_swasta,614,baik,2024-10-11
173,952016727,Katharyn Muggleton,5621 Algoma Hill,6000000,7000000,18,karyawan_swasta,660,baik,2025-03-09
174,963214818,Humfried Sanz,61342 Rieder Alley,10000000,12000000,37,wirausaha,687,buruk,2025-05-28
175,901562965,Berta Curneen,7 American Avenue,5000000,6000000,37,wirausaha,654,baik,2025-05-11
176,912738061,King Speer,41 Linden Hill,10000000,11000000,56,wirausaha,850,baik,2025-02-22
177,985551264,Owen Rodder,114 6th Parkway,11000000,9000000,41,wirausaha,728,baik,2025-04-26
178,925751695,Amby Blaza,0 Spenser Trail,9000000,10000000,30,wirausaha,805,baik,2025-07-07
179,995444232,Arlena Kissell,941 Cody Road,9000000,11000000,29,pns,791,baik,2024-12-04
180,971944403,Christean Brownsmith,298 Stuart Center,12000000,14000000,40,wirausaha,661,baik,2025-06-23
181,960640002,Leonardo Dommersen,29098 Fordem Place,5000000,6000000,29,pns,720,baik,2025-04-04
182,985357965,Bil Dewey,7 Springs Avenue,12000000,10000000,20,karyawan_swasta,773,baik,2024-09-23
183,910388623,Clemence Konzelmann,89 Mallard Avenue,5000000,6000000,31,pns,810,baik,2025-01-02
184,946784745,Joe Andreotti,3 Monterey Hill,11000000,9000000,18,karyawan_swasta,663,baik,2025-03-19
185,905455391,Daryle Saberton,56503 Transport Terrace,13000000,15000000,27,wirausaha,783,baik,2025-04-29
186,954958152,Carin Gauche,53314 Quincy Alley,9000000,11000000,40,karyawan_swasta,816,baik,2025-03-09
187,938328644,Sigismond Keilloh,39 Macpherson Place,10000000,9000000,18,karyawan_swasta,673,baik,2024-10-02
188,964170616,Noel Kingzet,52861 Hauk Alley,7000000,8000000,34,wirausaha,579,baik,2025-03-11
189,940753441,Nanci Menlove,7787 Roth Alley,5000000,6000000,57,wirausaha,698,baik,2024-11-16
190,909729114,Ketti Bilby,788 Arapahoe Terrace,14000000,16000000,18,karyawan_swasta,659,baik,2025-01-08
191,972000578,Perkin Pigott,6411 Lyons Drive,12000000,14000000,43,wirausaha,722,baik,2025-01-25
192,941809418,Ninetta Hannan,267 Claremont Parkway,8000000,9000000,61,wirausaha,629,baik,2025-05-13
193,975556128,Engracia Kearsley,3 Mockingbird Trail,8000000,9000000,21,pns,698,buruk,2025-07-14
194,903504224,Ofella MacAlinden,72 Sommers Court,10000000,11000000,23,pns,766,baik,2024-10-04
195,915153033,Tracie Lahiff,274 Corry Drive,11000000,9000000,18,karyawan_swasta,606,baik,2025-03-14
196,951293623,Demetri Rosenstock,6098 Sycamore Trail,5000000,4000000,18,wirausaha,790,baik,2025-01-15
197,921536929,Sansone Veld,574 Banding Point,7000000,8000000,40,wirausaha,850,baik,2025-02-21
198,957659562,Parrnell Kindred,24 Ryan Plaza,8000000,10000000,36,karyawan_swasta,682,baik,2024-11-27
199,909367137,Rodi Magovern,2 Charing Cross Circle,15000000,17000000,18,wirausaha,520,baik,2024-11-07
200,932848202,Far Searston,91618 Raven Court,8000000,9000000,40,karyawan_swasta,785,baik,2024-09-21
201,954494042,Randy Flack,8 Annamark Point,14000000,16000000,49,karyawan_swasta,725,baik,2025-01-15
202,908107519,Cornie Zupo,0 Ramsey Street,13000000,15000000,49,wirausaha,641,baik,2024-11-09
203,997195667,Prentice August,3568 Autumn Leaf Terrace,9000000,8000000,65,karyawan_swasta,701,baik,2025-07-10
204,918670152,Nils Ordemann,260 Wayridge Drive,7000000,6000000,50,wirausaha,742,baik,2025-09-14
205,912003715,Constantin Grey,38 Walton Trail,12000000,14000000,50,wirausaha,736,baik,2025-07-27
206,953984877,Nero Maplethorp,6866 Kipling Way,12000000,14000000,46,wirausaha,700,buruk,2025-05-12
207,948762382,Nanny Grindle,97 Bluejay Lane,8000000,9000000,37,karyawan_swasta,714,baik,2025-01-05
208,985795190,Eamon Rosenblum,6 Lindbergh Drive,11000000,9000000,21,karyawan_swasta,613,baik,2025-01-12
209,966926411,Jasun Gimblet,13 Pankratz Pass,5000000,6000000,39,karyawan_swasta,634,baik,2025-05-21
210,937381521,Blakeley Seamark,79212 Crest Line Plaza,14000000,17000000,40,karyawan_swasta,648,buruk,2025-07-27
211,952021394,Willamina Stanford,0 Stone Corner Junction,15000000,17000000,52,wirausaha,606,baik,2024-12-09
212,969181655,Rosanne Lukes,26 Starling Street,7000000,8000000,35,wirausaha,642,baik,2025-05-26
213,912604388,Eddy Godbert,61004 Ramsey Center,12000000,10000000,52,karyawan_swasta,730,baik,2025-07-24
214,901644588,Caz Newlove,77 Kropf Way,7000000,6000000,21,wirausaha,745,baik,2024-10-13
215,971105379,Paten Clemmett,8052 Loomis Avenue,9000000,11000000,18,wirausaha,695,baik,2024-10-19
216,998957318,Woody Dallaway,757 Thierer Road,9000000,8000000,41,karyawan_swasta,625,baik,2025-02-02
217,996008557,Dalli Barwis,8463 Melvin Terrace,8000000,9000000,27,wirausaha,683,baik,2025-05-14
218,907773010,Anny Redwin,14 Cherokee Avenue,13000000,11000000,40,wirausaha,750,baik,2024-12-28
219,975896626,Vasily Birkenhead,10623 6th Alley,7000000,6000000,39,wirausaha,850,baik,2025-03-18
220,991659205,Odella Ducarne,727 Forest Hill,7000000,8000000,18,wirausaha,566,baik,2025-01-21
221,915014713,Cherey Ondrusek,45 Goodland Center,7000000,8000000,55,karyawan_swasta,669,baik,2025-08-19
222,947438616,Rutter Chiese,58851 Butternut Court,13000000,12000000,19,karyawan_swasta,645,buruk,2024-10-04
223,949025361,Eleonora Dach,46822 Darwin Plaza,10000000,12000000,28,pns,723,baik,2025-02-07
224,963120396,Wilton Jaqueme,72426 6th Drive,14000000,15000000,44,karyawan_swasta,528,buruk,2024-11-27
225,933256039,Evangeline Bestman,644 Quincy Place,14000000,16000000,45,wirausaha,613,baik,2025-02-26
226,931570511,Barnebas Flacknell,19108 Mariners Cove Junction,14000000,11000000,49,wirausaha,636,baik,2025-05-11
227,966875191,Morrie Burker,7694 Derek Drive,8000000,9000000,40,wirausaha,827,baik,2025-04-25
228,948565611,Sanders Pammenter,5171 Meadow Vale Point,8000000,10000000,38,wirausaha,800,baik,2025-05-22
229,950741050,Chrystel Gouny,67578 Mariners Cove Hill,11000000,13000000,40,karyawan_swasta,742,baik,2025-07-08
230,982002062,Abbey Skullet,904 Crescent Oaks Plaza,6000000,7000000,34,wirausaha,668,baik,2025-09-14
231,938217223,Roz Drillot,9054 Ruskin Place,11000000,12000000,31,wirausaha,742,baik,2025-02-12
232,986321367,Lonny Gehringer,12 Colorado Terrace,9000000,11000000,32,karyawan_swasta,729,baik,2025-01-24
233,901875726,Wendye Burner,716 Lillian Hill,8000000,9000000,35,wirausaha,687,baik,2024-09-18
234,992236442,Fayth Deme,537 Coleman Hill,15000000,17000000,36,pns,736,baik,2024-12-29
235,946243076,Norrie Segebrecht,9922 Pearson Terrace,8000000,6000000,54,karyawan_swasta,721,baik,2025-03-17
236,925954217,Guenevere MacEvilly,3734 Canary Circle,7000000,6000000,32,wirausaha,753,baik,2025-08-28
237,972362843,Artus Aliberti,76 Grasskamp Lane,14000000,12000000,55,karyawan_swasta,593,buruk,2024-12-04
238,909881839,Tamma Ganforth,8730 Coleman Crossing,11000000,9000000,38,wirausaha,586,baik,2025-03-10
239,966598317,Zitella Werrit,4662 Golf Road,10000000,11000000,23,wirausaha,658,baik,2024-11-12
240,980624480,Clarisse Kollatsch,468 West Street,8000000,9000000,42,karyawan_swasta,649,baik,2025-09-08
241,988047701,Fidelity Doget,93 Fremont Lane,12000000,14000000,21,pns,829,baik,2024-11-25
242,932898883,Rita Machon,19 Independence Drive,10000000,12000000,30,wirausaha,718,buruk,2024-10-29
243,935809306,Warner Nordass,60065 Moulton Avenue,13000000,15000000,34,karyawan_swasta,670,baik,2024-09-29
244,959599285,Tessa Self,39950 Buhler Drive,7000000,6000000,35,wirausaha,763,baik,2024-12-25
245,916362310,Alphonso Houchin,12532 Hallows Plaza,8000000,7000000,18,wirausaha,546,baik,2025-02-23
246,936627577,Kelsey Webermann,5 Bonner Center,8000000,9000000,41,karyawan_swasta,850,baik,2025-05-25
247,959292350,Shaughn Doxsey,7 Hintze Court,6000000,7000000,42,karyawan_swasta,846,baik,2025-02-13
248,989031059,Tannie Meeron,9830 Arkansas Park,6000000,7000000,57,karyawan_swasta,850,baik,2025-05-11
249,959847316,Rochelle Risen,70 Carberry Place,10000000,11000000,18,karyawan_swasta,678,baik,2025-01-14
250,981709418,Roxane Crat,3513 Quincy Point,8000000,9000000,43,karyawan_swasta,731,baik,2024-12-03
251,953119464,Brandyn Kaesmakers,32 Express Avenue,11000000,13000000,27,karyawan_swasta,499,baik,2025-08-13
252,988310858,Janey Ojeda,57 Cardinal Center,9000000,8000000,40,pns,850,baik,2024-11-03
